HistoricalDate,INDEX_NAME,OPEN,HIGH,LOW,CLOSE
21 Jul 2026,Nifty Bank,57853.75,58228.65,57803.85,57835.35
20 Jul 2026,Nifty Bank,57738.25,58111,57533.1,57945.00
17 Jul 2026,Nifty Bank,57662,58596.85,57542.15,58521.40
16 Jul 2026,Nifty Bank,57831.1,57931.3,57420.15,57582.25
15 Jul 2026,Nifty Bank,57643.75,58148.8,57545.2,57757.85
14 Jul 2026,Nifty Bank,57832.55,57840.05,57286.9,57462.30
13 Jul 2026,Nifty Bank,57616.7,58219.9,57492.05,58131.45
10 Jul 2026,Nifty Bank,57592.5,58251.95,57576.7,58045.90
09 Jul 2026,Nifty Bank,56871,57464.2,56867.3,57252.45
08 Jul 2026,Nifty Bank,57918.25,58075.6,56549.4,56742.60
07 Jul 2026,Nifty Bank,58567.85,58581.1,58110.1,58200.70
06 Jul 2026,Nifty Bank,57983.9,58477.3,57938.65,58291.50
03 Jul 2026,Nifty Bank,58343.25,58343.25,57799.05,57938.50
02 Jul 2026,Nifty Bank,58134.5,58396.1,57884.6,58031.65
01 Jul 2026,Nifty Bank,57573.35,58134.15,57487.85,58033.05
30 Jun 2026,Nifty Bank,58011.95,58011.95,57456.65,57542.90
29 Jun 2026,Nifty Bank,58191.45,58318.05,57637.25,57727.35
25 Jun 2026,Nifty Bank,58493.85,58706.05,58109.85,58177.05
24 Jun 2026,Nifty Bank,57074.9,58256.35,57074.9,58150.35
23 Jun 2026,Nifty Bank,57886.75,57970.9,57078.45,57183.75
22 Jun 2026,Nifty Bank,57906.9,58009.1,57720.1,57935.60
19 Jun 2026,Nifty Bank,57754.95,57804.9,57464.55,57685.75
18 Jun 2026,Nifty Bank,57596.45,58021.25,57583.2,57963.80
17 Jun 2026,Nifty Bank,57434.05,57646.15,57222.4,57585.05
16 Jun 2026,Nifty Bank,57320.1,57399.7,57076.25,57297.15
15 Jun 2026,Nifty Bank,57679.65,57804.5,57119.2,57198.80
12 Jun 2026,Nifty Bank,55934.1,56867.1,55726.55,56814.80
11 Jun 2026,Nifty Bank,54779.65,55600.15,54753.15,55176.75
10 Jun 2026,Nifty Bank,55110.5,55555.85,55026.15,55100.30
09 Jun 2026,Nifty Bank,54265,55318.35,54242.3,55194.50
08 Jun 2026,Nifty Bank,53853.45,54455.2,53843.3,54063.75
05 Jun 2026,Nifty Bank,54405.2,54865.5,54140.6,54496.25
04 Jun 2026,Nifty Bank,53918.85,54461,53829.4,54307.85
03 Jun 2026,Nifty Bank,53541.1,54299.35,53027.15,54185.95
02 Jun 2026,Nifty Bank,53265.1,53933.55,53121.85,53714.65
01 Jun 2026,Nifty Bank,54403.85,54582.75,53470,53643.10
29 May 2026,Nifty Bank,54748.3,55184.45,54116.15,54239.20
27 May 2026,Nifty Bank,54992.95,55221.7,54738.6,54853.85
26 May 2026,Nifty Bank,55311.8,55536.8,54979.75,55092.90
25 May 2026,Nifty Bank,54610.55,55405.2,54590.7,55293.65
22 May 2026,Nifty Bank,53483.85,54213.05,53483.55,54055.35
21 May 2026,Nifty Bank,53963.1,54109.15,53156.15,53439.40
20 May 2026,Nifty Bank,53015.7,53640.9,52836.1,53562.20
19 May 2026,Nifty Bank,53553.75,53770.65,53337.05,53409.15
18 May 2026,Nifty Bank,53282.15,53667.55,52783.45,53537.00
15 May 2026,Nifty Bank,54207.75,54325.45,53628.3,53710.35
14 May 2026,Nifty Bank,53639.5,54393.75,53191.6,54128.95
13 May 2026,Nifty Bank,53600.4,54103.9,53194.25,53456.15
12 May 2026,Nifty Bank,54178.4,54365.45,53457.5,53555.20
11 May 2026,Nifty Bank,54832.45,55002.45,54360.7,54439.90
08 May 2026,Nifty Bank,55783.95,55797.7,55062.5,55310.55
07 May 2026,Nifty Bank,56114,56334.15,55783.2,56047.40
06 May 2026,Nifty Bank,55113.4,56078.8,54587.2,55981.05
05 May 2026,Nifty Bank,54691.3,54888.55,54221.65,54547.05
04 May 2026,Nifty Bank,54937.9,55602.3,54723.5,54878.50
30 Apr 2026,Nifty Bank,54880.65,55111.6,54440.25,54863.35
29 Apr 2026,Nifty Bank,55634.5,56178.75,55290.5,55403.60
